animal,symptoms,disease
Cow,fever|excessive salivation|blisters on mouth|lameness|blisters on hooves,Foot and Mouth Disease
Cow,fever|blisters on tongue|drooling|reluctance to walk|weight loss,Foot and Mouth Disease
Cow,mouth ulcers|hoof lesions|nasal discharge|reduced milk production|fever,Foot and Mouth Disease
Cow,salivation|blisters on feet|fever|loss of appetite|painful walking,Foot and Mouth Disease
Cow,blister on lips|fever|lameness|nasal discharge|drooling,Foot and Mouth Disease
Cow,fever|cracked hooves|mouth blisters|reduced feed intake|drooling,Foot and Mouth Disease
Cow,painful hooves|salivation|fever|mouth lesions|weight loss,Foot and Mouth Disease
Cow,blisters on gums|fever|lameness|nasal discharge|loss of appetite,Foot and Mouth Disease
Cow,fever|mouth erosions|hoof inflammation|drooling|reduced milk,Foot and Mouth Disease
Cow,reluctance to stand|mouth blisters|fever|excessive drooling|nasal discharge,Foot and Mouth Disease
Cow,fever|nasal discharge|coughing|difficulty breathing|lethargy,Bovine Respiratory Disease
Cow,labored breathing|coughing|fever|nasal discharge|reduced appetite,Bovine Respiratory Disease
Cow,runny nose|coughing|high fever|weight loss|lethargy,Bovine Respiratory Disease
Cow,pneumonia|fever|coughing|nasal discharge|depression,Bovine Respiratory Disease
Cow,difficulty breathing|fever|nasal discharge|coughing|loss of appetite,Bovine Respiratory Disease
Cow,wheezing|fever|nasal discharge|coughing|weakness,Bovine Respiratory Disease
Cow,rapid breathing|fever|coughing|nasal discharge|reduced feed intake,Bovine Respiratory Disease
Cow,chest pain|coughing|fever|nasal discharge|lethargy,Bovine Respiratory Disease
Cow,rattling breath|fever|coughing|nasal discharge|weight loss,Bovine Respiratory Disease
Cow,fever|open mouth breathing|coughing|nasal discharge|weakness,Bovine Respiratory Disease
Cow,bloody diarrhea|fever|loss of appetite|weakness|dehydration,Hemorrhagic Septicemia
Cow,sudden death|high fever|difficulty breathing|swollen throat|nasal discharge,Hemorrhagic Septicemia
Cow,swollen lymph nodes|fever|labored breathing|nasal discharge|drooling,Hemorrhagic Septicemia
Cow,high fever|depression|swollen neck|difficult swallowing|bloody discharge,Hemorrhagic Septicemia
Cow,fever|swollen throat|breathing difficulty|nasal discharge|weakness,Hemorrhagic Septicemia
Cow,swollen jaw|high fever|nasal discharge|difficulty breathing|lethargy,Hemorrhagic Septicemia
Cow,fever|rapid death|swollen neck|bloody nasal discharge|weakness,Hemorrhagic Septicemia
Cow,high fever|swollen lymph nodes|breathing difficulty|drooling|depression,Hemorrhagic Septicemia
Cow,sudden death|bloody diarrhea|high fever|swollen body|weakness,Anthrax
Cow,fever|swollen lymph nodes|bloody discharge|weakness|sudden collapse,Anthrax
Cow,high fever|bloody nasal discharge|swollen neck|rapid death|trembling,Anthrax
Cow,edema|bloody diarrhea|fever|convulsions|sudden death,Anthrax
Cow,sudden high fever|bloody discharge from body openings|weakness|rapid death|trembling,Anthrax
Cow,swollen body|high fever|bloody diarrhea|sudden death|weakness,Anthrax
Cow,reduced milk|fever|udder swelling|painful udder|watery milk,Mastitis
Cow,hot swollen udder|reduced milk production|fever|abnormal milk|loss of appetite,Mastitis
Cow,clots in milk|udder hardness|fever|painful teats|lethargy,Mastitis
Cow,watery milk|udder inflammation|fever|reduced production|weakness,Mastitis
Cow,hard udder quarters|fever|blood in milk|pain on touching udder|reduced milk,Mastitis
Cow,swollen teat|fever|abnormal milk color|pain|reduced milk production,Mastitis
Cow,udder redness|fever|clotted milk|loss of appetite|lethargy,Mastitis
Cow,loss of appetite|weight loss|weakness|pale mucous membranes|chronic cough,Bovine Tuberculosis
Cow,chronic cough|weight loss|fever|weakness|enlarged lymph nodes,Bovine Tuberculosis
Cow,gradual weight loss|chronic cough|fever|reduced milk|weakness,Bovine Tuberculosis
Cow,persistent cough|weight loss|lethargy|reduced appetite|enlarged neck lymph nodes,Bovine Tuberculosis
Cow,emaciation|chronic cough|fever|weakness|nasal discharge,Bovine Tuberculosis
Cow,weight loss|diarrhea|weakness|pale gums|rough coat,Bovine Fasciolosis
Cow,anemia|weight loss|bottle jaw|diarrhea|weakness,Bovine Fasciolosis
Cow,bottle jaw|weakness|pale eyelids|diarrhea|weight loss,Bovine Fasciolosis
Cow,rough coat|weight loss|anemia|diarrhea|lethargy,Bovine Fasciolosis
Cow,pale gums|weight loss|weakness|diarrhea|reduced milk,Bovine Fasciolosis
Buffalo,fever|excessive salivation|blisters on mouth|lameness|blisters on hooves,Foot and Mouth Disease
Buffalo,mouth ulcers|hoof lesions|drooling|fever|reluctance to walk,Foot and Mouth Disease
Buffalo,blisters on tongue|nasal discharge|fever|salivation|lameness,Foot and Mouth Disease
Buffalo,fever|painful walking|mouth sores|drooling|reduced appetite,Foot and Mouth Disease
Buffalo,cracked hooves|mouth blisters|fever|salivation|weight loss,Foot and Mouth Disease
Buffalo,blisters on gums|fever|lameness|drooling|loss of appetite,Foot and Mouth Disease
Buffalo,fever|mouth erosions|hoof inflammation|drooling|reduced milk,Foot and Mouth Disease
Buffalo,reluctance to stand|mouth blisters|fever|excessive drooling|nasal discharge,Foot and Mouth Disease
Buffalo,painful hooves|salivation|fever|mouth lesions|weight loss,Foot and Mouth Disease
Buffalo,fever|hoof lesions|mouth ulcers|nasal discharge|lethargy,Foot and Mouth Disease
Buffalo,fever|skin nodules|nasal discharge|swollen lymph nodes|lethargy,Lumpy Skin Disease
Buffalo,skin lumps|fever|nasal discharge|swollen lymph nodes|weight loss,Lumpy Skin Disease
Buffalo,nodular skin lesions|fever|reduced milk|swollen lymph nodes|lethargy,Lumpy Skin Disease
Buffalo,skin lumps all over body|fever|nasal discharge|eye discharge|loss of appetite,Lumpy Skin Disease
Buffalo,hard skin nodules|fever|swollen legs|nasal discharge|depression,Lumpy Skin Disease
Buffalo,raised skin bumps|fever|nasal discharge|swollen lymph nodes|reduced milk,Lumpy Skin Disease
Buffalo,skin nodules on neck|fever|eye discharge|nasal discharge|lethargy,Lumpy Skin Disease
Buffalo,crusty skin nodules|fever|loss of appetite|nasal discharge|weakness,Lumpy Skin Disease
Buffalo,fever|skin lesions|swollen lymph nodes|nasal discharge|weight loss,Lumpy Skin Disease
Buffalo,multiple skin nodules|high fever|nasal discharge|eye discharge|depression,Lumpy Skin Disease
Buffalo,fever|nasal discharge|coughing|difficulty breathing|weakness,Bovine Respiratory Disease
Buffalo,labored breathing|coughing|fever|nasal discharge|loss of appetite,Bovine Respiratory Disease
Buffalo,runny nose|coughing|high fever|lethargy|weight loss,Bovine Respiratory Disease
Buffalo,wheezing|fever|coughing|nasal discharge|reduced appetite,Bovine Respiratory Disease
Buffalo,rapid breathing|fever|coughing|nasal discharge|weakness,Bovine Respiratory Disease
Buffalo,chest rattling|coughing|fever|nasal discharge|depression,Bovine Respiratory Disease
Buffalo,high fever|depression|swollen neck|difficulty breathing|nasal discharge,Hemorrhagic Septicemia
Buffalo,sudden death|high fever|swollen throat|labored breathing|bloody nasal discharge,Hemorrhagic Septicemia
Buffalo,fever|swollen lymph nodes|labored breathing|drooling|nasal discharge,Hemorrhagic Septicemia
Buffalo,swollen jaw|high fever|nasal discharge|difficulty breathing|lethargy,Hemorrhagic Septicemia
Buffalo,fever|rapid death|swollen neck|bloody discharge|weakness,Hemorrhagic Septicemia
Buffalo,high fever|swollen neck|breathing difficulty|depression|bloody nasal discharge,Hemorrhagic Septicemia
Buffalo,reduced milk|fever|udder swelling|painful udder|abnormal milk,Mastitis
Buffalo,hot swollen udder|clots in milk|fever|lethargy|loss of appetite,Mastitis
Buffalo,watery milk|udder inflammation|fever|painful teats|reduced production,Mastitis
Buffalo,hard udder|fever|blood in milk|pain|reduced milk production,Mastitis
Buffalo,swollen teat|fever|abnormal milk|loss of appetite|lethargy,Mastitis
Buffalo,udder redness|fever|clotted milk|weakness|reduced milk,Mastitis
Buffalo,chronic cough|weight loss|fever|weakness|enlarged lymph nodes,Bovine Tuberculosis
Buffalo,gradual weight loss|chronic cough|pale mucous membranes|fever|reduced milk,Bovine Tuberculosis
Buffalo,persistent cough|weight loss|lethargy|reduced appetite|enlarged neck lymph nodes,Bovine Tuberculosis
Buffalo,emaciation|chronic cough|fever|weakness|nasal discharge,Bovine Tuberculosis
Buffalo,weight loss|diarrhea|anemia|weakness|bottle jaw,Bovine Fasciolosis
Buffalo,pale mucous membranes|weight loss|diarrhea|weakness|rough coat,Bovine Fasciolosis
Buffalo,bottle jaw|weakness|pale eyelids|diarrhea|weight loss,Bovine Fasciolosis
Buffalo,rough coat|weight loss|anemia|diarrhea|lethargy,Bovine Fasciolosis
Goat,fever|sneezing|nasal discharge|mouth sores|coughing,Peste des Petits Ruminants
Goat,high fever|eye discharge|diarrhea|nasal discharge|pneumonia,Peste des Petits Ruminants
Goat,fever|mouth ulcers|nasal discharge|diarrhea|difficulty breathing,Peste des Petits Ruminants
Goat,coughing|fever|nasal discharge|mouth lesions|lethargy,Peste des Petits Ruminants
Goat,diarrhea|fever|eye discharge|nasal discharge|weight loss,Peste des Petits Ruminants
Goat,high fever|crusty eyes|mouth erosions|diarrhea|coughing,Peste des Petits Ruminants
Goat,fever|nasal discharge|mouth sores|labored breathing|weakness,Peste des Petits Ruminants
Goat,sneezing|fever|eye discharge|diarrhea|loss of appetite,Peste des Petits Ruminants
Goat,fever|mouth ulcers|coughing|nasal discharge|depression,Peste des Petits Ruminants
Goat,diarrhea|high fever|nasal discharge|mouth lesions|weight loss,Peste des Petits Ruminants
Goat,fever|blisters on mouth|lameness|salivation|hoof lesions,Foot and Mouth Disease
Goat,mouth ulcers|fever|reluctance to walk|blisters on hooves|drooling,Foot and Mouth Disease
Goat,blisters on lips|fever|lameness|excessive salivation|nasal discharge,Foot and Mouth Disease
Goat,painful hooves|mouth blisters|fever|salivation|weight loss,Foot and Mouth Disease
Goat,hoof lesions|mouth sores|fever|drooling|loss of appetite,Foot and Mouth Disease
